"Model","Class","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Ridge","Class: No",0.870197687430063,0.291630716134599,0.586918238993711,0.66015625,0.586918238993711,0.870197687430063,0.701021634615384,0.53630726145229,0.466693338667734,0.795159031806361,0.580914201782331
"Elastic Net","Class: Gt30",0.284071305347901,0.837423312883436,0.482421875,0.686792452830189,0.482421875,0.284071305347901,0.357582338038364,0.347869573914783,0.0988197639527906,0.204840968193639,0.560747309115668
"Elastic Net","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
"Elastic Net","Class: No",0.870197687430063,0.291630716134599,0.586918238993711,0.66015625,0.586918238993711,0.870197687430063,0.701021634615384,0.53630726145229,0.466693338667734,0.795159031806361,0.580914201782331
"NDA","Class: Gt30",0.340425531914894,0.802760736196319,0.479352226720648,0.695270988310308,0.479352226720648,0.340425531914894,0.398117014122394,0.347869573914783,0.118423684736947,0.247049409881976,0.571593134055606
"NDA","Class: Lt30",0.00345423143350604,0.999095022624434,0.333333333333334,0.884438213498898,0.333333333333333,0.00345423143350604,0.00683760683760684,0.115823164632927,0.000400080016003201,0.0012002400480096,0.50127462702897
"NDA","Class: No",0.839985080193957,0.35030198446937,0.599254922831293,0.654311039484287,0.599254922831293,0.839985080193957,0.699487498058705,0.53630726145229,0.450490098019604,0.751750350070014,0.595143532331664
"Neural Network","Class: Gt30",0.334100057504313,0.804601226993865,0.477011494252874,0.693731816979635,0.477011494252874,0.334100057504313,0.392965843760568,0.347869573914783,0.11622324464893,0.243648729745949,0.569350642249089
"Neural Network","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
"Neural Network","Class: No",0.842223051100336,0.342968075927524,0.59719650886009,0.652709359605911,0.59719650886009,0.842223051100336,0.69885484370164,0.53630726145229,0.451690338067614,0.756351270254051,0.59259556351393
"FDA","Class: Gt30",0.301897642323174,0.838343558282209,0.499049429657795,0.692424626298455,0.499049429657795,0.301897642323174,0.376209243998567,0.347869573914783,0.10502100420084,0.210442088417684,0.570120600302691
"FDA","Class: Lt30",0.0500863557858377,0.985746606334842,0.315217391304349,0.887915223150601,0.315217391304348,0.0500863557858377,0.0864381520119225,0.115823164632927,0.00580116023204641,0.0184036807361472,0.51791648106034
"FDA","Class: No",0.860126818351361,0.331751509922347,0.598184176394293,0.672202797202797,0.598184176394293,0.860126818351361,0.70563035495716,0.53630726145229,0.46129225845169,0.771154230846169,0.595939164136854
"SVM (RBF)","Class: Gt30",0.299597469810236,0.84478527607362,0.50730282375852,0.693353474320242,0.50730282375852,0.299597469810236,0.376717281272596,0.347869573914783,0.104220844168834,0.205441088217644,0.572191372941928
"SVM (RBF)","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
"SVM (RBF)","Class: No",0.873554643789631,0.296807592752373,0.589627391742195,0.669912366114898,0.589627391742195,0.873554643789631,0.704043288741921,0.53630726145229,0.468493698739748,0.794558911782356,0.585181118271002
"KNN","Class: Gt30",0.230017251293847,0.86441717791411,0.475059382422803,0.677892711089728,0.475059382422803,0.230017251293847,0.309957380860132,0.347869573914783,0.0800160032006401,0.168433686737347,0.547217214603979
"KNN","Class: Lt30",0,0.998868778280543,0,0.884060873047657,0,0,NA,0.115823164632927,0,0.001000200040008,0.499434389140271
"KNN","Class: No",0.884744498321522,0.232096635030198,0.571290944123314,0.635182998819362,0.571290944123314,0.884744498321522,0.6942777696473,0.53630726145229,0.474494898979796,0.830566113222645,0.55842056667586
"Naive Bayes","Class: Gt30",0.000575043128234618,1,1,0.652260904361745,1,0.000575043128234618,0.00114942528735632,0.347869573914783,0.0002000400080016,0.0002000400080016,0.500287521564117
"Naive Bayes","Class: Lt30",0,1,NA,0.884176835367073,NA,0,NA,0.115823164632927,0,0,0.5
"Naive Bayes","Class: No",1,0.000431406384814495,0.536414565826331,1,0.536414565826331,1,0.698268003646308,0.53630726145229,0.53630726145229,0.999799959991998,0.500215703192407
