"Model","Class","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Elastic Net","Class: No",0.721745617306975,0.498274374460742,0.624596513879923,0.60757496054708,0.624596513879923,0.721745617306975,0.669666032185499,0.53630726145229,0.387077415483097,0.619723944788958,0.610009995883859
"NDA","Class: Gt30",0.097757331799885,0.917177914110429,0.386363636363637,0.65584558017109,0.386363636363636,0.097757331799885,0.15603487838458,0.347869573914783,0.0340068013602721,0.0880176035207041,0.507467622955157
"NDA","Class: Lt30",0.544041450777202,0.630995475113122,0.161870503597122,0.913527677694071,0.161870503597122,0.544041450777202,0.249504950495049,0.115823164632927,0.0630126025205041,0.389277855571114,0.587518462945162
"NDA","Class: No",0.609847071988064,0.578084555651424,0.625717566016074,0.561609388097234,0.625717566016074,0.609847071988064,0.61768039289762,0.53630726145229,0.327065413082616,0.522704540908182,0.593965813819744
"FDA","Class: Gt30",0.193214491086832,0.882515337423313,0.467315716272601,0.672196261682243,0.467315716272601,0.193214491086832,0.273393002441009,0.347869573914783,0.0672134426885377,0.143828765753151,0.537864914255072
"FDA","Class: Lt30",0.412780656303972,0.733257918552036,0.168547249647391,0.905054454063111,0.168547249647391,0.412780656303972,0.239359038557837,0.115823164632927,0.0478095619123825,0.283656731346269,0.573019287428004
"FDA","Class: No",0.675867213726222,0.54702329594478,0.633123689727463,0.593355170800187,0.633123689727463,0.675867213726222,0.653797582536533,0.53630726145229,0.3624724944989,0.57251450290058,0.611445254835501
"KNN","Class: Gt30",0.294422081656124,0.77361963190184,0.4096,0.672712723392905,0.4096,0.294422081656124,0.342589494814319,0.347869573914783,0.102420484096819,0.250050010002,0.534020856778982
"KNN","Class: Lt30",0.3713298791019,0.7,0.139519792342635,0.894736842105263,0.139519792342635,0.3713298791019,0.202830188679245,0.115823164632927,0.0430086017203441,0.308261652330466,0.53566493955095
"KNN","Class: No",0.515852293920179,0.644089732528041,0.626358695652174,0.534933715514153,0.626358695652174,0.515852293920179,0.565759869093884,0.53630726145229,0.276655331066213,0.441688337667534,0.57997101322411
"Naive Bayes","Class: Gt30",0.198964922369178,0.834662576687117,0.390960451977401,0.661400097228974,0.390960451977401,0.198964922369178,0.263719512195122,0.347869573914783,0.0692138427685537,0.177035407081416,0.516813749528147
"Naive Bayes","Class: Lt30",0.504317789291883,0.645022624434389,0.15690488984417,0.908540471637986,0.15690488984417,0.504317789291883,0.239344262295082,0.115823164632927,0.0584116823364673,0.372274454890978,0.574670206863136
"Naive Bayes","Class: No",0.530399104811637,0.641501294219154,0.63115845539281,0.541514930808449,0.63115845539281,0.530399104811637,0.57640859343332,0.53630726145229,0.284456891378276,0.450690138027606,0.585950199515396
